"full_name","html_url","description","language","topics","stargazers_count","created_at"
"AMAP-ML/SkillClaw","https://github.com/AMAP-ML/SkillClaw","Let Skills Evolve Collectively with Agentic Evolver ","Python","agent;agentic-ai;ai-agent;collective-intelligence;continual-learning;hermes;llm;llms;openclaw;self-evolving;skill-evolution;skill-learning;skills","1329","10.04.2026 3:25:47"
"vakovalskii/codbash","https://github.com/vakovalskii/codbash","Termius-style browser dashboard for Claude Code & Codex sessions. View, search, resume, tag, and manage all your AI coding sessions.","JavaScript","","210","03.04.2026 19:52:00"
"d0rc/egg.c","https://github.com/d0rc/egg.c","EGGROLL in C, integer-first training","Cuda","","349","24.11.2025 4:45:31"
"sbrin/lopaka","https://github.com/sbrin/lopaka","Lopaka - Stunning graphics for embedded systems displays","C","arduino;editor;embedded;embedded-systems;graphics","1417","04.06.2023 20:35:50"
"DanielLetto2020/hierarchical-block-text","https://github.com/DanielLetto2020/hierarchical-block-text",,"Python","","9","18.02.2026 8:34:28"
"DanielLetto2020/qwen-todo-ai-extension","https://github.com/DanielLetto2020/qwen-todo-ai-extension","Расширение для Qwen Code CLI с полноценным веб-интерфейсом — Kanban-доска для управления задачами.","HTML","extension;kanban;qwen;qwen-code;todo","2","10.04.2026 12:52:53"
"jax-ml/jax","https://github.com/jax-ml/jax","Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more","Python","jax","35612","25.10.2018 21:25:02"
"mostlygeek/llama-swap","https://github.com/mostlygeek/llama-swap","Reliable model swapping for any local OpenAI/Anthropic compatible server - llama.cpp, vllm, etc","Go","golang;llama;llamacpp;localllama;localllm;openai;openai-api;vllm","4081","04.10.2024 4:06:01"
"LearningCircuit/local-deep-research","https://github.com/LearningCircuit/local-deep-research"," ~95% on SimpleQA (e.g. Qwen3.6-27B on a 3090). Supports all local and cloud LLMs (llama.cpp, Ollama, Google, ...). 10+ search engines - arXiv, PubMed, your private documents. Everything Local & Encrypted.","Python","academia;anthropic;arxiv;brave;deep-research;encryption;home-automation;homeserver;local;local-deep-research;local-llm;mistral;ollama;openai;pubmed;research;research-tool;retrieval-augmented-generation;searxng;self-hosted","7662","09.02.2025 15:41:32"
"66RING/tiny-flash-attention","https://github.com/66RING/tiny-flash-attention","flash attention tutorial written in python, triton, cuda, cutlass","Cuda","","516","07.12.2023 1:49:40"
"Dao-AILab/flash-attention","https://github.com/Dao-AILab/flash-attention","Fast and memory-efficient exact attention","Python","","23801","19.05.2022 21:22:06"
"algorithmicsuperintelligence/openevolve","https://github.com/algorithmicsuperintelligence/openevolve","Open-source implementation of AlphaEvolve","Python","alpha-evolve;alphacode;alphaevolve;coding-agent;deepmind;deepmind-lab;discovery;distributed-evolutionary-algorithms;evolutionary-algorithms;evolutionary-computation;genetic-algorithm;genetic-algorithms;iterative-methods;iterative-refinement;llm-engineering;llm-ensemble;llm-inference;openevolve;optimize","6292","15.05.2025 11:46:52"
"TheTom/llama-cpp-turboquant","https://github.com/TheTom/llama-cpp-turboquant","LLM inference in C/C++","C++","","1495","25.03.2026 13:24:38"
"nexu-io/open-design","https://github.com/nexu-io/open-design","🎨 Local-first, open-source alternative to Anthropic's Claude Design. ⚡ 19 Skills · ✨ 71 brand-grade Design Systems 🖼 Generate web · desktop · mobile prototypes · slides · images · videos · HyperFrames 📦 Sandboxed preview · HTML/PDF/PPTX/MP4 export 🤖 Runs on Claude Code / Codex / Cursor / Gemini / OpenCode / Qwen / Copilot / Hermes / Kimi CLI.","TypeScript","agent-skills;ai-agents;ai-design;byok;claude;claude-code-for-design;claude-design;coding-agents;design-systems;design-tools;desktop-app;figma-alternative;generative-ai;hermes-agent;local-first;nextjs;no-code;prototyping;ui-generator;vibe-coding","41912","28.04.2026 4:25:20"
"warpdotdev/warp","https://github.com/warpdotdev/warp","Warp is an agentic development environment, born out of the terminal.","Rust","bash;linux;macos;rust;shell;terminal;wasm;zsh","58644","08.07.2021 18:48:08"
"civitai/civitai","https://github.com/civitai/civitai","A repository of models, textual inversions, and more","TypeScript","ai;social-network;stable-diffusion","7107","11.10.2022 20:03:20"
"mcmonkeyprojects/SwarmUI","https://github.com/mcmonkeyprojects/SwarmUI","SwarmUI (formerly StableSwarmUI), A Modular Stable Diffusion Web-User-Interface, with an emphasis on making powertools easily accessible, high performance, and extensibility.","C#","ai;comfyui;csharp;image-generation;javascript;machine-learning;ml;python;stable-diffusion","4089","21.06.2024 6:24:53"
"ikawrakow/ik_llama.cpp","https://github.com/ikawrakow/ik_llama.cpp","llama.cpp fork with additional SOTA quants and improved performance","C++","","2453","27.06.2024 6:01:47"
"leejet/stable-diffusion.cpp","https://github.com/leejet/stable-diffusion.cpp","Diffusion model(SD,Flux,Wan,Qwen Image,Z-Image,...) inference in pure C/C++","C++","ai;cplusplus;diffusion;flux;flux-dev;flux-schnell;ggml;image-generation;image2image;img2img;latent-diffusion;qwen-image;stable-diffusion;text2image;txt2img;videogeneration;wan;z-image;z-image-turbo","6013","13.08.2023 7:36:51"
"backnotprop/plannotator","https://github.com/backnotprop/plannotator","Annotate and review coding agent plans and code diffs visually, share with your team, send feedback to agents with one click.","TypeScript","agents;claude-code;code-review;codex;obsidian;opencode;pi-mono;plan-mode;skills","5345","28.12.2025 2:09:40"
"thedotmack/claude-mem","https://github.com/thedotmack/claude-mem","Persistent Context Across Sessions for Every Agent –  Captures everything your agent does during sessions, compresses it with AI, and injects relevant context back into future sessions. Works with Claude Code, OpenClaw, Codex, Gemini, Hermes, Copilot, OpenCode + More","TypeScript","ai;ai-agents;ai-memory;anthropic;artificial-intelligence;chromadb;claude;claude-agent-sdk;claude-agents;claude-code;claude-code-plugin;claude-skills;embeddings;long-term-memory;mem0;memory-engine;openmemory;rag;sqlite;supermemory","76059","31.08.2025 20:50:03"
"refactoringhq/tolaria","https://github.com/refactoringhq/tolaria","Desktop app to manage markdown knowledge bases","TypeScript","","10789","14.02.2026 19:43:14"
"github/awesome-copilot","https://github.com/github/awesome-copilot","Community-contributed instructions, agents, skills, and configurations to help you make the most of GitHub Copilot.","Python","agent-skills;agents;ai;awesome;custom-agents;github-copilot;hacktoberfest;prompt-engineering","33101","11.06.2025 16:57:39"
"openclaw/openclaw","https://github.com/openclaw/openclaw","Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ","TypeScript","ai;assistant;crustacean;molty;openclaw;own-your-data;personal","372259","24.11.2025 10:16:47"
"affaan-m/everything-claude-code","https://github.com/affaan-m/everything-claude-code","The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.","JavaScript","ai-agents;anthropic;claude;claude-code;developer-tools;llm;mcp;productivity","183864","18.01.2026 0:51:51"
"NousResearch/hermes-agent","https://github.com/NousResearch/hermes-agent","The agent that grows with you","Python","ai;ai-agent;ai-agents;anthropic;chatgpt;claude;claude-code;clawdbot;codex;hermes;hermes-agent;llm;moltbot;nous-research;openai;openclaw","152487","22.07.2025 22:22:28"
"jjmartres/ai-coding-agents","https://github.com/jjmartres/ai-coding-agents","Single source of truth for AI coding agent configuration — skills, commands and rules shared across OpenCode and Pi.","TypeScript","agents;agentskills;claude-code;claude-skills;configuration;dotfiles;gemini-cli;opencode;pi;pi-mono;skills","19","19.04.2026 15:31:49"
"kyegomez/OpenMythos","https://github.com/kyegomez/OpenMythos","A theoretical reconstruction of the Claude Mythos architecture, built from first principles using the available research literature.","Python","ai;anthropic;attention;claude;claude-ai;claude-code;claude-code-plugin;claude-mythos;claude-sonnet;deepmind;gpt-5;gpt-7;jax;looped-transformers;ml;pytorch;sonnet;torch","13004","18.04.2026 12:57:52"
"agentscope-ai/QwenPaw","https://github.com/agentscope-ai/QwenPaw","Your Personal AI Assistant; easy to install, deploy on your own machine or on the cloud; supports multiple chat apps with easily extensible capabilities.","Python","agent;agentscope;agentscope-runtime;llm-tools;llms;skills","16701","24.02.2026 3:42:56"
"open-webui/open-webui","https://github.com/open-webui/open-webui","User-friendly AI Interface (Supports Ollama, OpenAI API, ...)","Python","ai;llm;llm-ui;llm-webui;llms;mcp;ollama;ollama-webui;open-webui;openai;openapi;rag;self-hosted;ui;webui","137267","06.10.2023 22:08:27"
"theroyallab/tabbyAPI","https://github.com/theroyallab/tabbyAPI","The official API server for Exllama. OAI compatible, lightweight, and fast.","Python","","1217","10.11.2023 5:54:02"
"alvinunreal/oh-my-opencode-slim","https://github.com/alvinunreal/oh-my-opencode-slim","Slimmed, cleaned and fine-tuned oh-my-opencode fork, consumes much less tokens","TypeScript","agentic-ai;antigravity;cerebras;oh-my-opencode;opencode;orchestration","4404","15.01.2026 18:45:08"
"awesome-opencode/awesome-opencode","https://github.com/awesome-opencode/awesome-opencode","A curated list of awesome plugins, themes, agents, projects, and resources for https://opencode.ai","JavaScript","","6945","22.09.2025 0:01:14"
"code-yeongyu/oh-my-openagent","https://github.com/code-yeongyu/oh-my-openagent","omo; the best agent harness - previously oh-my-opencode","TypeScript","ai;ai-agents;amp;anthropic;chatgpt;claude;claude-code;claude-skills;cursor;gemini;ide;openai;opencode;orchestration;tui;typescript","58015","03.12.2025 1:40:05"
"frap129/opencode-rules","https://github.com/frap129/opencode-rules","An opencode plugin to dynamically inject rules into context, like cursor","TypeScript","","72","02.11.2025 22:04:32"
"B-A-M-N/Sheppard","https://github.com/B-A-M-N/Sheppard","Sheppard is an AI agent for Ollama, handling memory, automation, and knowledge distillation using Redis, PostgreSQL, and ChromaDB. ","Python","ai-agent;automation;chromadb;knowledge-distillation;memory;ollama;postgresql;redis","9","04.03.2025 0:11:25"
"B-A-M-N/maestro-orchestrate","https://github.com/B-A-M-N/maestro-orchestrate","Multi-agent orchestration platform for Gemini CLI, Claude Code, and Codex — 22 specialists, parallel subagents, persistent sessions, and built-in code review, debugging, security, SEO, accessibility, and compliance tools",,"ai-agents;claude-code;code-review;codex;gemini-cli;multi-agent;orchestration;parallel-agents","1","10.04.2026 15:40:46"
"punkpeye/awesome-mcp-servers","https://github.com/punkpeye/awesome-mcp-servers","A collection of MCP servers.",,"ai;mcp","86967","30.11.2024 4:49:10"
"GraphiteEditor/Graphite","https://github.com/GraphiteEditor/Graphite","Community-built comprehensive 2D content creation appplication for graphic design, digital art, and interactive real-time motion graphics powered by a node-based procedural graphics engine","Rust","2d-graphics;animation;art;creative-coding;design;graphic-design;graphics;graphics-editor;image-manipulation;image-processing;motion-design;motion-graphics;node-graph;photo-editor;procedural;procedural-drawing;procedural-generation;svg-editor;vector-graphics","25670","26.04.2020 7:29:29"
"MemPalace/mempalace","https://github.com/MemPalace/mempalace","The best-benchmarked open-source AI memory system. And it's free.","Python","ai;chromadb;llm;mcp;memory;python","52283","05.04.2026 1:12:07"
"wenshao/codeagents","https://github.com/wenshao/codeagents",,"Python","","46","17.03.2026 6:27:39"
"samestrin/qwen-prompts","https://github.com/samestrin/qwen-prompts","Supercharge qwen-code with hybrid prompt-chaining, powered by gemini-cli integration. Performance improvements include 72% faster execution, 36-83% token efficiency gains, and 91.7% success rate verified across 5 repository benchmarks.",,"ai;automation;chaining;cli;development;gemini;gemini-cli;hybrid-chaining;hybrid-prompt-chaining;llm;llm-workflow;llm-workflows;prompt-chaining;prompt-chaining-workflow;prompts;qwen;qwen-code","20","21.08.2025 19:39:12"
"decolua/9router","https://github.com/decolua/9router","Unlimited FREE AI coding. Connect Claude Code, Codex, Cursor, Cline, Copilot, Antigravity to FREE Claude/GPT/Gemini via 40+ providers. Auto-fallback, RTK -40% tokens, never hit limits.","JavaScript","ai-agents;ai-gateway;anthropic;chatgpt;claude;claude-code;cline;codex;copilot;cursor;deepseek;free-ai;gemini;gemini-cli;llm;llm-gateway;openai;openai-proxy;qwen;token-saver","10813","05.01.2026 2:59:30"
"K-Dense-AI/scientific-agent-skills","https://github.com/K-Dense-AI/scientific-agent-skills","A set of ready to use Agent Skills for research, science, engineering, analysis, finance and writing.","Python","agent-skills;ai-scientist;bioinformatics;chemoinformatics;claude;claude-skills;claudecode;clinical-research;computational-biology;data-analysis;drug-discovery;genomics;materials-science;metabolomics;proteomics;scientific-computing;scientific-visualization","22669","19.10.2025 20:54:15"
"yusufkaraaslan/Skill_Seekers","https://github.com/yusufkaraaslan/Skill_Seekers","Convert documentation websites, GitHub repositories, and PDFs into Claude AI skills with automatic conflict detection","Python","ai-tools;ast-parser;automation;claude-ai;claude-skills;code-analysis;conflict-detection;documentation;documentation-generator;github;github-scraper;mcp;mcp-server;multi-source;ocr;pdf;python;web-scraping","13575","17.10.2025 14:43:48"
"handsome-rich/Awesome-Auto-Research-Tools","https://github.com/handsome-rich/Awesome-Auto-Research-Tools","A curated collection of automated research tools, covering literature search, paper reading, experiment management, and code generation to help researchers accelerate their workflow.","Python","","500","16.03.2026 5:49:55"
"davebcn87/pi-autoresearch","https://github.com/davebcn87/pi-autoresearch","Autonomous experiment loop extension for pi","TypeScript","","6684","11.03.2026 20:25:53"
"VoltAgent/awesome-design-md","https://github.com/VoltAgent/awesome-design-md","A collection of DESIGN.md files inspired by popular brand design systems. Drop one into your project and let coding agents generate a matching UI.",,"awesome-list;design-md;design-system;design-tokens;figma;google-stitch;landing-page;vibe-coding;vibe-design","79490","31.03.2026 16:37:01"
"Gitlawb/openclaude","https://github.com/Gitlawb/openclaude","runs anywhere. uses anything","TypeScript","ai;ai-agent;ai-tools;cli;coding","26847","01.04.2026 3:15:49"
"tanzhenxin/claude-code","https://github.com/tanzhenxin/claude-code","Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands. All original source code is the property of Anthropic.",,"","1","31.03.2026 10:31:24"
"mjansson/rpmalloc","https://github.com/mjansson/rpmalloc","Public domain cross platform lock free thread caching 16-byte aligned memory allocator implemented in C","Python","allocator;concurrency;memory;thread","2445","18.11.2016 12:57:26"
